,rounds,winner_of_1,winner_of_2
0,round_of_32_0,round_of_64_0,round_of_64_24
1,round_of_32_1,round_of_64_1,round_of_64_25
2,round_of_32_2,round_of_64_2,round_of_64_26
3,round_of_32_3,round_of_64_3,round_of_64_27
4,round_of_32_4,round_of_64_4,round_of_64_28
5,round_of_32_5,round_of_64_5,round_of_64_29
6,round_of_32_6,round_of_64_6,round_of_64_30
7,round_of_32_7,round_of_64_7,round_of_64_31
8,round_of_32_8,round_of_64_16,round_of_64_8
9,round_of_32_9,round_of_64_17,round_of_64_9
10,round_of_32_10,round_of_64_18,round_of_64_10
11,round_of_32_11,round_of_64_19,round_of_64_11
12,round_of_32_12,round_of_64_20,round_of_64_12
13,round_of_32_13,round_of_64_21,round_of_64_13
14,round_of_32_14,round_of_64_22,round_of_64_14
15,round_of_32_15,round_of_64_23,round_of_64_15
